pais,continente,puntos,descripcion
Argentina,América,95,"If you love massive Argentine reds with purity of fruit and fine oak, then this blend is up your alley. Toasty blackberry aromas come with plenty of oak grain, vanilla and depth. This is profoundly deep on the palate, while toasty blackberry, chocolate and peppery flavors finish with mocha and bracing tannins that aren't too rocky or hard. Drink through 2025."
India,Asia,93,"The nose carries notes of cassis, blackberry and bell pepper. An approachable, yet complex wine, the palate shows flavors of black cherry, bacon, black pepper, vanilla and espresso bean. Rich tannins linger without burdening the taste buds. Pleasant notes of smoke and salt linger on the finish."
Australia,Australia y Oceanía,100,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish."
Italy,Europa,100,"Thick as molasses and dark as caramelized brown sugar, the wine oozes out of the bottle releasing concentrated aromas of butterscotch, toffee, honey, licorice, coffee, resin and maple syrup. Grapes from the Montepulciano area are dried in a ventilated room and the wine ages over 10 years in tiny oak barrels resulting in thick, dark concentration. Don't pair it with food: Vin Santo as good as this deserves to be enjoyed alone, as a so-called “meditation wine.”"
South Africa,África,95,"Only 95 cases were made of this Bordeaux-style blend of 43% Cabernet Sauvignon, 33% Malbec and 24% Cabernet Franc. It's a stellar example of the high-end and highly cellarable wines that can come out of South Africa, oozing with depth, concentration and complexity, all in a harmonious, balanced package. It's dark and brooding right off the bat, boasting firm, tight blackberry, cherry and cassis fruit that's coupled with hints of raspberry sauce, pressed violets and baking spice. The palate is strong and packed with black fruit flavors that lead into a long, evolving finish of char, espresso bean, cigar and woodspice. Firmly structured and robust in feel, try from 2022–2028, though it could mature well even beyond."
